address,balance
0x78FC02b1dC81134AEAD1A4aDaBfB1943563C668d,1454164.5844216733
0xac3fDE8331B657695CeF2595EB3Ce7D1a8C039Eb,1446757.3029571795
0xe8D661f2b87f75DDdBEca33548d0397270551049,1436168.0488170448
0xec0ADf5E5aE06D5599cda07465372eE3755bA8DD,1411330.8525370625
0x2b83094Ef5749B6F1D5Afcd2721F39fB06b79662,1407096.993000404
0x35690BefC402140E93B49B678655554D534fFBc0,1378421.1271909939
0xb27C7b067e2C7e40b568a073eFf86F0D3093A072,1371914.5074619618
0x718459581Bfd430d52ae40b41830407bB2Ca842b,1354061.4009674997
0xd158637f7a7bAC0E16e83e532b8d01edc77c4797,1353984.6857963994
0x58253Cd77a3b4986dB458527aCD402D78E219581,1338927.7980752806
0x17a63Ee8CF50848c02B42b00aBe2Dc4a29829963,1318828.845200493
0x3a0D236158dc51720174C6b3DDe3E8f97061cc95,1305571.064961681
0x1CD4b198C602b8B18B4eA4d5d7cFEbB899c898b0,1285755.2695141286
0x71aAf461D62e3d15c3bA51B4d98466686823e08e,1283240.8626845363
0xdDD0C55c66D4D01A86c9a83e9023A348c1f9Ae73,1198568.911800771
0x050F6DBeC176acabD1aD38aC5B0AfEAF689Ea04F,1193288.1657779263
0x13Ea078A1AD8a75950A6c6e62d84EeACd53E7128,1143070.7368886897
0xbD9c944DCFB31Cd24c81EBF1C974d950f44E42B8,1141360.8720643204
0x5f44Fe1C8B5D0802edA2A9B638c6163aD52D633B,1137409.974765474
0xb75a8423b6aaD17e91411367d26E7a890cae0CF1,1134321.7094028895
0x728989216C7400a65A6f05CBfb98097BBF51618b,1101028.3030138523
0x3131f0C8c6CD6EAF2BeD988bDc66512333E60C74,1095871.6420850963
0xA2d1c3d0d603d6f9de6E757BCd1fcdb6ede930D8,1087707.942446778
0x31f45f2278a23Ef31A5485d3Aa98178e7F39710d,1085972.75023494
0x7DdD55B8D60F4fbb5040Db7e06e91364Ae931F98,1083322.662551291
0xCAf26A948d1119D4D8fE3DCC63fBf45868b4411c,1061203.0462238214
0x4651AfD6d24807676d9012f3d7746B6925247b10,1061097.7117102079
0x1668f36AAFBF30D8Bcc13adBeA8F989797ca8f9a,1056747.5418769137
0xaFbe14e8f3Da77149429DFE646CD61835A621BCb,1054405.1811869587
0x10306356E4b16872B122c95D65eC0D335881a39C,1050613.9107048195
